Network,Path,Num_Hops,Anomaly_Score,Is_Transit
169.255.204.0/24,174 33763 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447,129.0,-0.3191530620208136,1
197.157.210.0,174 33763 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447,129.0,-0.3191530620208136,1
197.29.122.0,30844 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447 37447,128.0,-0.3403619103970922,0
